reTau,imTau,coneDeficit,margin
0.7279374,0.6394821,1.40332e-13,3.28033e-9
0.7279384,0.6394826,3.25073e-13,3.93943e-10
0.7279402,0.639482,1.56319e-13,2.32404e-9
0.7279421,0.6394814,1.02141e-13,5.66165e-9
0.7279436,0.6394814,1.35891e-13,2.84054e-9
0.727945,0.6394825,1.24345e-13,1.78680e-9
0.727946,0.6394832,6.48370e-14,5.35811e-9
0.7279474,0.6394838,1.38556e-13,8.23938e-10
0.7279494,0.6394842,1.11022e-13,2.64020e-9
0.7279508,0.6394845,1.06581e-13,2.69482e-9
0.7279523,0.6394846,1.43885e-13,2.44414e-9
0.7279535,0.6394851,7.37188e-14,2.84635e-10
0.7279545,0.6394849,4.26326e-14,2.75493e-9
0.7279563,0.6394851,1.42109e-13,3.37411e-9
0.7279575,0.6394852,5.50671e-14,4.14669e-9
0.7279583,0.6394854,1.03029e-13,3.37574e-9
0.7279593,0.6394855,8.61533e-14,2.85049e-9
0.72796,0.6394857,9.05942e-14,3.36408e-9
0.7279619,0.6394857,9.94760e-14,3.18029e-9
0.7279625,0.6394862,1.54543e-13,3.28736e-9
0.7279634,0.6394865,2.15827e-13,2.14239e-9
0.7279639,0.6394868,1.03029e-13,2.35543e-9
0.727965,0.6394875,1.19016e-13,2.22846e-10
0.7279662,0.6394872,5.50671e-14,2.67229e-9
0.7279676,0.6394877,8.88178e-14,4.81162e-9
0.7279689,0.639488,9.94760e-14,3.83976e-10
0.7279702,0.6394883,8.70415e-14,2.73289e-9
0.7279708,0.6394887,1.50990e-13,2.68551e-9
0.7279716,0.6394891,8.70415e-14,1.51240e-9
0.7279747,0.6394891,1.29674e-13,2.73985e-10
0.7279762,0.6394895,9.59233e-14,4.21696e-9
0.7279761,0.6394901,6.21725e-14,7.28238e-10
0.7279769,0.6394904,1.35891e-13,2.70882e-9
0.7279773,0.6394904,9.94760e-14,1.14885e-9
0.727978,0.6394904,1.07470e-13,7.33126e-10
0.727978,0.6394905,1.70530e-13,6.80904e-11
0.7279784,0.6394907,9.59233e-14,1.22835e-9
0.7279786,0.639491,1.54543e-13,1.30685e-11
0.7279793,0.639491,1.46549e-13,3.59655e-10
0.7279798,0.6394909,1.03029e-13,1.14551e-9
0.7279803,0.639491,1.86517e-13,1.09673e-9
0.7279805,0.639491,8.61533e-14,1.60988e-10
0.7279813,0.6394914,1.68754e-13,1.46309e-9
0.7279817,0.6394916,1.90070e-13,5.36782e-10
0.7279819,0.6394915,6.48370e-14,1.33423e-9
0.7279834,0.6394916,8.43769e-14,9.16261e-10
0.7279841,0.6394916,1.35003e-13,1.15832e-9
0.7279847,0.6394917,7.10543e-14,5.95975e-11
0.7279853,0.6394921,1.23457e-13,1.83555e-9
0.7279859,0.6394925,1.16351e-13,1.62161e-9
0.7279867,0.6394927,1.14575e-13,2.13568e-9
0.7279886,0.6394925,1.81188e-13,3.61434e-10
0.7279903,0.6394924,8.52651e-14,4.20521e-9
0.7279916,0.6394924,1.27010e-13,4.33512e-9
0.7279924,0.639493,1.80300e-13,6.93340e-10
0.727994,0.639493,1.01252e-13,2.85173e-9
0.7279959,0.6394924,8.88178e-14,2.18542e-10
0.7279962,0.6394929,5.77316e-14,1.39832e-9
0.7279974,0.6394929,1.34115e-13,5.49543e-10
0.727999,0.6394927,1.84741e-13,2.24701e-9
